epoch,accuracy,loss,val_accuracy,val_loss
0,0.5894736647605896,0.6670560240745544,0.0,0.7191129922866821
1,0.5621052384376526,0.6332178115844727,0.0,0.7286603450775146
2,0.6042105555534363,0.6054590940475464,0.0,0.7369603514671326
3,0.7052631378173828,0.579717755317688,0.3396226465702057,0.7313396334648132
4,0.8147368431091309,0.5466445684432983,0.49056604504585266,0.7206552624702454
5,0.8526315689086914,0.5246674418449402,0.5094339847564697,0.7080331444740295
6,0.8842105269432068,0.49093568325042725,0.6226415038108826,0.689329981803894
7,0.8989473581314087,0.4643852114677429,0.7169811129570007,0.6733239889144897
8,0.9115789532661438,0.43703433871269226,0.8301886916160583,0.6545143127441406
9,0.9389473795890808,0.41544267535209656,0.8301886916160583,0.6338843107223511
10,0.9263157844543457,0.39415478706359863,0.8301886916160583,0.6074392795562744
11,0.9473684430122375,0.369960218667984,0.8301886916160583,0.5802595615386963
12,0.9536842107772827,0.34641382098197937,0.8301886916160583,0.5506046414375305
13,0.9578947424888611,0.3273256719112396,0.8301886916160583,0.5185226798057556
14,0.9599999785423279,0.3030199408531189,0.8301886916160583,0.4878885746002197
15,0.9599999785423279,0.2789316177368164,0.8301886916160583,0.45996055006980896
16,0.9578947424888611,0.2710752785205841,0.8301886916160583,0.4326855540275574
17,0.9621052742004395,0.255399227142334,0.849056601524353,0.40546804666519165
18,0.9705263376235962,0.2383946031332016,0.9056603908538818,0.37758126854896545
19,0.9642105102539062,0.2343585044145584,0.9056603908538818,0.34992507100105286
20,0.9768421053886414,0.21243269741535187,0.9433962106704712,0.3230307996273041
21,0.9768421053886414,0.20017662644386292,0.9433962106704712,0.3038772940635681
22,0.9747368693351746,0.1940014511346817,1.0,0.2850387394428253
23,0.9831578731536865,0.17963944375514984,1.0,0.2636966109275818
24,0.9831578731536865,0.1692654937505722,1.0,0.24885660409927368
25,0.9831578731536865,0.15823471546173096,1.0,0.23199261724948883
26,0.9852631688117981,0.15945826470851898,1.0,0.21547576785087585
27,0.9831578731536865,0.15091660618782043,1.0,0.20163460075855255
28,0.9852631688117981,0.14197899401187897,1.0,0.18695545196533203
29,0.9852631688117981,0.14092156291007996,1.0,0.17454221844673157
30,0.9852631688117981,0.1299029141664505,1.0,0.16194601356983185
31,0.9852631688117981,0.12788605690002441,1.0,0.1514676809310913
32,0.9852631688117981,0.12072362750768661,1.0,0.14436806738376617
33,0.9852631688117981,0.11318983882665634,1.0,0.13601051270961761
34,0.9852631688117981,0.11451759189367294,1.0,0.12998764216899872
35,0.9852631688117981,0.10308747738599777,1.0,0.12227047979831696
36,0.9852631688117981,0.10981423407793045,1.0,0.1181848868727684
37,0.9852631688117981,0.09836692363023758,1.0,0.10933428257703781
38,0.9852631688117981,0.09873528778553009,1.0,0.10547157377004623
39,0.9852631688117981,0.09640346467494965,1.0,0.09927395731210709
40,0.9852631688117981,0.08972928673028946,1.0,0.09297166019678116
41,0.9852631688117981,0.08943741023540497,1.0,0.08986647427082062
42,0.9852631688117981,0.0895857885479927,1.0,0.08628527820110321
43,0.9852631688117981,0.08867311477661133,1.0,0.08277027308940887
44,0.9852631688117981,0.08909657597541809,1.0,0.07734250277280807
45,0.9852631688117981,0.0825783982872963,1.0,0.07309538871049881
46,0.9852631688117981,0.07988964021205902,1.0,0.07163286209106445
47,0.9852631688117981,0.08013920485973358,1.0,0.06858933717012405
48,0.9852631688117981,0.07309474796056747,1.0,0.06535979360342026
49,0.9852631688117981,0.08433282375335693,1.0,0.06232840195298195
50,0.9852631688117981,0.07853303849697113,1.0,0.05983072519302368
51,0.9852631688117981,0.0802188515663147,1.0,0.0572957806289196
52,0.9852631688117981,0.07636323571205139,1.0,0.053957145661115646
53,0.9852631688117981,0.07567857205867767,1.0,0.05227704346179962
