epoch,accuracy,loss,val_accuracy,val_loss
0,0.9328594207763672,0.15185441076755524,0.5047393441200256,0.590709388256073
1,0.980252742767334,0.06539291143417358,0.5521327257156372,0.5553288459777832
2,0.9873617887496948,0.04493846744298935,0.649289071559906,0.5294749736785889
3,0.9905213117599487,0.029603509232401848,0.7061611413955688,0.5085016489028931
4,0.9952606558799744,0.01790534146130085,0.7654028534889221,0.49135664105415344
5,0.9973670244216919,0.013403127901256084,0.8080568909645081,0.46907344460487366
6,0.9973670244216919,0.011459768749773502,0.8459715843200684,0.4442448318004608
7,0.9978936314582825,0.010571685619652271,0.879146933555603,0.4177550673484802
8,0.9992101192474365,0.008633026853203773,0.900473952293396,0.3914336562156677
9,0.9994733929634094,0.008051236160099506,0.9194312691688538,0.36650344729423523
10,0.998683512210846,0.008586999960243702,0.9312795996665955,0.345974862575531
11,0.9997367262840271,0.005370772909373045,0.9597156643867493,0.3164740800857544
12,0.9989467859268188,0.0057974159717559814,0.9644549489021301,0.29192787408828735
13,0.9994733929634094,0.005811466369777918,0.9739336371421814,0.2657823860645294
14,1.0,0.003904536832123995,0.9763033390045166,0.24474027752876282
15,1.0,0.0038071610033512115,0.978672981262207,0.22448134422302246
16,1.0,0.0031872165855020285,0.978672981262207,0.20378224551677704
17,1.0,0.00349253136664629,0.978672981262207,0.1843760907649994
18,0.9997367262840271,0.0030238369945436716,0.9857819676399231,0.1677371859550476
19,1.0,0.002188332611694932,0.9834123253822327,0.15333503484725952
20,1.0,0.0032556699588894844,0.9857819676399231,0.13965760171413422
21,1.0,0.002061504404991865,0.9857819676399231,0.12700213491916656
22,0.9997367262840271,0.002809099154546857,0.9857819676399231,0.11541513353586197
23,1.0,0.0018512782407924533,0.9881516695022583,0.10508839040994644
24,1.0,0.0018213738221675158,0.9881516695022583,0.09655135869979858
25,1.0,0.002332641277462244,0.9881516695022583,0.08862464129924774
26,0.9997367262840271,0.0017142563592642546,0.9881516695022583,0.08475515246391296
27,1.0,0.0015096586430445313,0.9881516695022583,0.07980350404977798
28,1.0,0.002076182048767805,0.9881516695022583,0.07479533553123474
29,1.0,0.0013767057098448277,0.9881516695022583,0.07140426337718964
30,1.0,0.001163405948318541,0.9881516695022583,0.06803043186664581
31,1.0,0.0011531163472682238,0.9881516695022583,0.06609660387039185
32,1.0,0.0013524785172194242,0.9881516695022583,0.06483252346515656
33,1.0,0.0012320338282734156,0.9881516695022583,0.06425350159406662
34,1.0,0.001017487607896328,0.9881516695022583,0.06350141763687134
35,1.0,0.001061282935552299,0.9881516695022583,0.06348089873790741
36,1.0,0.0008239579619839787,0.9881516695022583,0.06418086588382721
37,1.0,0.0007769717485643923,0.9881516695022583,0.06552641838788986
38,1.0,0.0012169526889920235,0.9881516695022583,0.06705370545387268
39,1.0,0.000663583748973906,0.9881516695022583,0.0692862868309021
40,1.0,0.0008091513300314546,0.9881516695022583,0.07049807161092758
41,1.0,0.0010558379581198096,0.9881516695022583,0.07239951193332672
42,1.0,0.0006760862306691706,0.9881516695022583,0.07398302853107452
43,1.0,0.0006740120006725192,0.9881516695022583,0.07551183551549911
44,1.0,0.0009200326749123633,0.9881516695022583,0.07668322324752808
